"","NGO","StartDate","EndDate","USD","Title","Details","Report","Fund","Continent","Country","SpeciesClass","isCWA","phase","More","euroContribution","euroTotal","URL","ID","Ref","Pounds","CentralWestAfrica"
"468","
                            Parc National du Mercantour                        ","2009",NA,NA,"Exposition : ""Nos Montagnes""","
              
        	
        				  
                  
					
                    Exposition : ""Nos Montagnes""
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Parc National du Mercantour                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		PrincipautÃ© de Monaco                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2009Cette exposition qui met à l’honneur les parcs du Mercantour et Alpi Marittime a été inaugurée le mercredi 28 janvier en présence de S.A.S le Prince Albert II de Monaco et se poursuivra jusqu’au 31 mai 2009.Les parcs du Mercantour et Alpi Marittime constituent un patrimoine naturel exceptionnel. Les engagements de la France, de l’Italie et de la Principauté de Monaco ont appelé, dans le cadre de la convention alpine, à la mise en œuvre d’un nouveau volet de coopération reflétant leur volonté partagée d’agir ensemble dans la valorisation transfrontalière de ces deux parcs.Ce nouveau volet de coopération s’est traduit par la signature d’une convention cadre le 19 septembre 2008 entre le Gouvernement Princier, la Fondation Prince Albert II de Monaco, le Parc National du Mercantour et le Parco Naturale delle Alpi Marittime.Ce partenariat permet d’unir les efforts sur plusieurs thèmes : l’inventaire généralisé de la biodiversité, l’inscription de cet espace commun au patrimoine mondial de l’UNESCO, la sensibilisation et la promotion de l’écotourisme.L’exposition « Nos Montagnes … » est une application de ce partenariat. Le talent des photographes, Jean Charles Vinaj, Cédric Robion et Claude Gouron est le meilleur des messages pour inviter à la découverte et sensibiliser à la protection de ces joyaux de la nature.
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.mercantour.eu/Ã¢â¬Å½
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=297",NA,NA,NA,FALSE
"469","
                            Association Good Planet                        ","2008-2009",NA,NA,"Des enfants Ã  Port Cros","
              
        	
        				  
                  
					
                    Des enfants Ã  Port Cros
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Association Good Planet                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Ãle de Port Cros, MÃ©diterranÃ©e                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2008-2009Ce projet pilote se situe entre école et séjour de vacances. Il a pour objectif de sensibiliser les enfants au développement durable à travers une classe découverte.L’enfant est éduqué à l’environnement à travers des gestes et des pratiques quotidiennes, ainsi que l’exploration de l’île. L’activité dominante du séjour est la découverte terrestre et maritime de l’île avec aquascope, sentier sous-marin et randonnées pédestres. 
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.goodplanet.org
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Valvert- Alti- APCOR                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
													  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=294",NA,NA,NA,FALSE
"470","
                            Institut du Développement Durable et des Relations Internationales (IDDRI)                        ","Mars 2008",NA,NA,"Vers une nouvelle gouvernance de la biodiversitÃ© en haute mer","
              
        	
        				  
                  
					
                    Vers une nouvelle gouvernance de la biodiversitÃ© en haute mer
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Institut du Développement Durable et des Relations Internationales (IDDRI)                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		PrincipautÃ© de Monaco                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   Mars 2008La haute mer est l'espace le moins connu et le moins exploré à ce jour. Bien public mondial par excellence, elle requiert une gestion coordonnée à l'échelle supra-étatique, dans le cadre d'une véritable gouvernance mondiale de l'environnement.Pourtant, la haute mer et ses ressources sont aujourd'hui de plus en plus menacées par l'intensité et la diversité des pressions anthropiques qu'elles supportent. Les récents débats menés au sein des différentes institutions impliquées dans le processus de réflexion sur la gouvernance de la haute mer ont soulevé plusieurs problématiques critiques d'ordre scientifique, juridique, institutionnel, économique dont le traitement apparaît être une nécessité impérieuse pour assurer la conservation de la biodiversité.Le séminaire a réuni des experts internationaux de haut niveau en vue d'éclairer le débat actuel, d'examiner les questions posant le plus de difficultés, et d'envisager des voies nouvelles pour une gestion durable des ressources de la haute mer.
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.iddri.org
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Centre de droit maritime et océanique- Université de Nantes- Agence des aires marines protégées- Fonds Français pour l’Environnement Mondial (FFEM)                        
                	
            	
            
            
            
            	                
                						  
							
							Â© P. Mondielli
													  
							
							Â© P. Mondielli
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=289",NA,NA,NA,FALSE
"471","
                            Musée National d’Histoire Naturelle (MNHN)                        ","Madang ",NA,NA,"La PlanÃ¨te revisitÃ©e ","
              
        	
        				  
                  
					
                    La PlanÃ¨te revisitÃ©e 
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Musée National d’Histoire Naturelle (MNHN)                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Mozambique, Madagascar, Papouasie Nouvelle-GuinÃ©e                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   Madang Les évaluations de la conservation mondiale nécessitent des informations sur la répartition de la biodiversité dans le monde. Madagascar et le Mozambique constituent des environnements particulièrement bien conservés. À l’heure actuelle, il existe un manque de connaissances sur certains types de terrains dont l’étude est négligée.L'objectif de ce projet est de combler les lacunes en matière de connaissances sur la biodiversité dans la région de l'Océan Indien occidental, en se concentrant sur les groupes d'organismes les plus divers mais les plus négligés à ce jour : les invertébrés et les végétaux. Papouasie – Nouvelle-GuinéeSix ans après « Santos  2006 » au Vanuatu et deux après le Mozambique et Madagascar, les scientifiques repartent à la découverte de la biodiversité pour cette nouvelle étape co-organisée par le Muséum national d’Histoire naturelle, Pro-Natura International et l’Institut de recherche pour le développement (IRD), l’équipe explorera la Papouasie – Nouvelle-Guinée à partir du mois d’octobre, pour trois mois d’explorations terrestres et marines.L’objectif premier est d’explorer les principaux points chauds de la biodiversité de la planète, y dresser un inventaire des espèces animales et végétales inconnues et établir un état de référence qui puisse être revisité dans les années à venir.
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.mnhn.fr
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Université de Lurio- Projet Maluane- Projet Biodiversité & Tourisme de Cabo Delgado- Services techniques des Ministères Locaux- The Tree Kangaroo Conservation Program- Conservation International- Biology Department, University of Papua New Guinea- PNG Institute of Biological Research, Goroka- PNG Forest Research Institute, Lae- PNG National Agriculture Research Institute, Port Moresby- Wanang Conservation Board, Wanang Village- Sangamanga Cultural and Environmental Group, Kundiawa                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=287",NA,NA,NA,TRUE
"472","
                            Musée National d’Histoire Naturelle (MNHN)                        ","Papouasie – Nouvelle-Guinée",NA,NA,"La PlanÃ¨te revisitÃ©e ","
              
        	
        				  
                  
					
                    La PlanÃ¨te revisitÃ©e 
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Musée National d’Histoire Naturelle (MNHN)                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Mozambique, Madagascar, Papouasie Nouvelle-GuinÃ©e                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   Madang Les évaluations de la conservation mondiale nécessitent des informations sur la répartition de la biodiversité dans le monde. Madagascar et le Mozambique constituent des environnements particulièrement bien conservés. À l’heure actuelle, il existe un manque de connaissances sur certains types de terrains dont l’étude est négligée.L'objectif de ce projet est de combler les lacunes en matière de connaissances sur la biodiversité dans la région de l'Océan Indien occidental, en se concentrant sur les groupes d'organismes les plus divers mais les plus négligés à ce jour : les invertébrés et les végétaux. Papouasie – Nouvelle-GuinéeSix ans après « Santos  2006 » au Vanuatu et deux après le Mozambique et Madagascar, les scientifiques repartent à la découverte de la biodiversité pour cette nouvelle étape co-organisée par le Muséum national d’Histoire naturelle, Pro-Natura International et l’Institut de recherche pour le développement (IRD), l’équipe explorera la Papouasie – Nouvelle-Guinée à partir du mois d’octobre, pour trois mois d’explorations terrestres et marines.L’objectif premier est d’explorer les principaux points chauds de la biodiversité de la planète, y dresser un inventaire des espèces animales et végétales inconnues et établir un état de référence qui puisse être revisité dans les années à venir.
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.mnhn.fr
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Université de Lurio- Projet Maluane- Projet Biodiversité & Tourisme de Cabo Delgado- Services techniques des Ministères Locaux- The Tree Kangaroo Conservation Program- Conservation International- Biology Department, University of Papua New Guinea- PNG Institute of Biological Research, Goroka- PNG Forest Research Institute, Lae- PNG National Agriculture Research Institute, Port Moresby- Wanang Conservation Board, Wanang Village- Sangamanga Cultural and Environmental Group, Kundiawa                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=287",NA,NA,NA,TRUE
"473","
                            WWF International                        ","2007- 2010",NA,NA,"Clubs Vintsy","
              
        	
        				  
                  
					
                    Clubs Vintsy
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            WWF International                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Madagascar                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2007- 2010En dépit de sa riche biodiversité endémique, Madagascar souffre d'une sévère déforestation et de la dégradation de ses ressources naturelles renouvelables. Cette situation est en partie due au manque de compréhension du fonctionnement des écosystèmes et à l’absence d’information et d’éducation concernant l’environnement.Le programme Clubs Vintsy vise à répondre à ces problèmes en sensibilisant les écoliers, étudiants et éducateurs, à travers la mise en place et l’animation d’un réseau national de clubs environnementaux.Le programme se compose de trois phases :- L’organisation et l’animation de Clubs Vintsy au sein d’écoles, avec des réunions publiques d’information pour les communautés locales, et des actions de sensibilisation.- La conception, l’édition et la distribution de matériaux techniques et de communication pour les écoliers participant au programme.- Une campagne de sensibilisation auprès des responsables au sein du Ministère de l’Éducation Nationale pour promouvoir la création de Clubs Vintsy et la formation des éducateurs.Plus de 450 clubs vintsy ont été créés dans le cadre du projet. Ce projet a permis la création d’un réseau dynamique et national de jeunes acteurs formés sur l’environnement.
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.wwf.fr
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Ministère de l’Education Nationale et de la Recherche Scientifique- Association Nationale pour les Aires Protégées- Tany Meva (Fondation Environnementale Nationale)                        
                	
            	
            
            
            
            	                
                						  
							
							Â© Vintsy Clubs
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=286",NA,NA,NA,FALSE
"474","
                            Fonds Tara                        ","2009- 2011",NA,NA,"Tara Oceans","
              
        	
        				  
                  
					
                    Tara Oceans
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Fonds Tara                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		OcÃ©ans du globe                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2009- 2011L'expédition TARA-Océans est un projet français qui réunit une équipe d'experts internationaux en océanographie, biologie cellulaire et moléculaire, écologie, bioinformatique, et navigation.Son objectif principal est l'analyse de la diversité des écosystèmes coralliens et du plancton marin, depuis les virus et bactéries jusqu'aux protistes et métazoaires. L'expédition a débuté en 2009 et TARA sillonne depuis les océans du globe.
                
                
                    
                    
                        
                        Site internet                        
                          
                            http://oceans.taraexpeditions.org
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Agnès B- Veolia- Centre National de Recherche Scientifique (CNRS)- European Molecular Biology Laboratory (EMBL)                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=271",NA,NA,NA,FALSE
"475","
                            Fondation Charles Darwin                        ","2009- 2012",NA,NA,"Protection des espÃ¨ces de l'Ã®le de FlorÃ©ana aux Galapagos","
              
        	
        				  
                  
					
                    Protection des espÃ¨ces de l'Ã®le de FlorÃ©ana aux Galapagos
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Fondation Charles Darwin                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Ile de Floreana, Galapagos                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2009- 2012L’archipel des îles Galápagos fait partie des réserves de biodiversité les plus riches au monde.La Fondation Charles Darwin a lancé un vaste programme scientifique, éducatif et économique qui vise à répertorier et cartographier la flore et la faune endémique de l’île  de Floréana. Le projet soutenu par la Fondation Prince Albert II de Monaco a pour objectif de créer un programme d’agriculture durable sur l’île ainsi que d’améliorer l’accès à l’eau potable et la gestion des déchets. Il permettra également d’intégrer les communautés locales aux actions de conservation en faveur de la biodiversité entreprises sur l’île. Le programme allie ainsi le développement économique durable pour les populations locales et la protection accrue des espèces endémiques de Floréana.
                
                
                    
                    
                        
                        Site internet                        
                          
                            http://darwinfoundation.org
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		Galapagos Conservation Trust                        
                	
            	
            
            
            
            	                
                						  
							
							Â©Charles Darwin Foundation
													  
							
							Â©Charles Darwin Foundation
													  
							
							Â©Charles Darwin Foundation
													  
							
							Â©Charles Darwin Foundation
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=270",NA,NA,NA,FALSE
"476","
                            Ministère du développement durable, de l'environnement et des parcs du Québec                        ","",NA,NA,"Atlas des points chauds de la biodiversitÃ© pour le QuÃ©bec Nordique","
              
        	
        				  
                  
					
                    Atlas des points chauds de la biodiversitÃ© pour le QuÃ©bec Nordique
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Ministère du développement durable, de l'environnement et des parcs du Québec                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		QuÃ©bec Nordique                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   A partir d’information collectées par le Centre de données sur le patrimoine naturel (http://www.cdpnq.gouv.qc.ca) et basé sur diverses sources de données écologiques, ce projet a identifiera les « points chauds » de la biodiversité et du Québec Nordique.Les impacts et les capacités d’adaptation de la biodiversité au changement climatique seront prix en compte pour une aide à la décision du développement durable du Québec Nordique.Cet atlas appliqué au Québec nordique est une première et deviendra un outil incontournable de connaissances et de gestion de la biodiversité pour le projet gouvernemental intitutlé : « le Plan nord, un projet de développement durable du nord du 49e parrallèle jusqu’au 62e ». Il servira également de base pour la mise en place d’un futur réseau permanent de l’information et de suivi de la biodiversité du Québec.
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.mddefp.gouv.qc.ca
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Centre de données sur le patrimoine naturel- Ouranos                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=266",NA,NA,NA,FALSE
"477","
                            Parc National du Mercantour                        ","2008-2010",NA,NA,"Inventaire de la biodiversitÃ© dans le Parc National du Mercantour","
              
        	
        				  
                  
					
                    Inventaire de la biodiversitÃ© dans le Parc National du Mercantour
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Parc National du Mercantour                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Parco Naturale Alpi Marittime (PNAM) / Parc National du Mercantour (PNM)                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2008-2010Le partenariat engagé depuis plusieurs années entre le PNM, le PNAM et le Muséum National d'Histoire Naturelle de Paris a pour ambition de donner une autre dimension aux inventaires taxonomiques des invertébrès.Ce projet vise à réaliser un inventaire sur l'ensemble du territoire que compose ces deux parcs naturels sur une période de trois ans, à l’issue de laquelle, plusieurs dizaines à centaines d’espèces nouvelles ont été découvertes.
                
                
                    
                    
                        
                        Site internet                        
                          
                            http://www.mercantour.eu
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Musée régional de Cunéo- Principauté de Monaco- Région PACA- Province de Cunéo- Départements des Alpes de Haute Provence et des Alpes Maritimes                        
                	
            	
            
            
            
            	                
                						  
							
							Â© E. Icardo  PN Mercantour
													  
							
							Â© F Favier
													  
							
							Â© E. Icardo  PN Mercantour
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=251",NA,NA,NA,FALSE
"478","
                            Association pour l’Inventaire de la Flore du Var (INFLOVAR)                        ","",NA,NA,"Livre : "" Le Var et sa flore ""","
              
        	
        				  
                  
					
                    Livre : "" Le Var et sa flore ""
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Association pour l’Inventaire de la Flore du Var (INFLOVAR)                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		DÃ©partement du Var, France                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   Cet ouvrage permet de recenser chacune des 400 espèces rares ou protégées qui constituent l’environnement floristique particulier de la région varoise. Chaque espèce est accompagnée d’une notice où figurent ses caractéristiques écologiques, physiques, et géographiques.Il permet ainsi de :- Mieux faire connaître au public le patrimoine floristique exceptionnel du Var- Améliorer la qualité des études d’impact réalisées avant les grands travaux d’aménagement- Fournir un outil de travail aux agents chargés de la police de la nature, ainsi qu’aux gestionnaires d’espaces protégés- Fournir aux générations futures un état de la situation actuelle de la flore.
                
                
                    
                    
                        
                        Site internet                        
                          
                            http://ssnatv.free.fr
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Conservatoire Botanique National méditerranéen de Porquerolles- Université de Marseille- Société de Sciences Naturelles de Tourlon et du Var                        
                	
            	
            
            
            
            	                
                						  
							
							Â© INFLOVAR
													  
							
							
													  
							
							Â© INFLOVAR
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=240",NA,NA,NA,FALSE
"479","
                            Conservatoire Botanique National Méditerranéen de Porquerolles (CBNMP), Institut Méditerranéen d’Ecologie et de Paléoécologie (IMEP), Université Paul Cézanne, Aix-Marseille III                                     ","2008-2010",NA,NA,"Monacobiodiv","
              
        	
        				  
                  
					
                    Monacobiodiv
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Conservatoire Botanique National Méditerranéen de Porquerolles (CBNMP), Institut Méditerranéen d’Ecologie et de Paléoécologie (IMEP), Université Paul Cézanne, Aix-Marseille III                                     
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		PrincipautÃ© de Monaco                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2008-2010Monacobiodiv vise à évaluer les paramètres qui régissent et mesurent l’état de la biodiversité monégasque dans un souci d’aide à la conservation et à la gestion durable des espèces et des habitats.L’objectif du projet est de gérer les zones de conservation prioritaires de la région méditerranéenne, de mesurer l’impact des différentes menaces sur les espèces d’intérêt patrimonial, de sensibiliser l’ensemble des acteurs locaux sur la biodiversité monégasque et d’identifier les zones majeures de biodiversité.Ce premier observatoire de la biodiversité littorale méditerranéenne sert de site pilote pour la conservation, la sensibilisation et la gestion d’autres sites littoraux.
                
                
                    
                    
                        
                        Site internet                        
                          
                            
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Université de Nice Sophia-Antipolis- INFLOVAR- Direction de l’Environnement de la Principauté de Monaco- Association Monaco Développement Durable (MC2D)                        
                	
            	
            
            
            
            	                
                						  
							
							Â© CBNMP
													  
							
							Â© CBNMP
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=229",NA,NA,NA,FALSE
"480","
                            Fondation ONE DROP                         ","2008-2011",NA,NA,"Eau pour les populations du Tropique sec au Honduras","
              
        	
        				  
                  
					
                    Eau pour les populations du Tropique sec au Honduras
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Fondation ONE DROP                         
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Bassin versant de la riviÃ¨re Nacaome, situÃ©e dans la zone du Tropique sec au sud du Honduras                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2008-2011Le Honduras est l'un des pays les plus pauvres du continent américain. Cette pauvreté est notamment due à une faible productivité agricole, avec un usage et une gestion inadéquats des ressources naturelles (eau, sol et forêts).Le projet ONE DROP au Honduras vise à améliorer les conditions de vie des populations rurales grâce à :- la sécurité alimentaire des populations- une plus grande accessibilité à l'eau potable- l’appui à des activités économiques respectueuses de l'utilisation durable des ressources naturelles
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.onedrop.org
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Oxfam-Québec- MOPAFMA- ADEPES- Jurdas de Agua                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=333",NA,NA,NA,FALSE
"481","
                            Georama TV Productions Ltd                        ","",NA,NA,"Film : ""Deadly Dephts""","
              
        	
        				  
                  
					
                    Film : ""Deadly Dephts""
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Georama TV Productions Ltd                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		France, Allemagne, Pologne, Royaume-Uni, NorvÃ¨ge, Etats-Unis et Japon                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   Des bombes à retardement sous la mer… A partir des années 1912, les cartels de l’industrie et les régimes militaires d’une poignée de nations, notamment en Allemagne, les Etats-Unis, le Royaume-Uni, l’Italie, le Japon et l’URSS ont fabriqué d’énormes quantités de munitions remplies de substances mortelles comme le gaz moutarde ou des agents neurotoxiques encore plus destructeurs. D’immenses réserves d’armes inutilisées – bombes, obus, grenades, missiles et fûts de stockage remplis de produits toxiques -  ont été systématiquement larguées en mer jusqu’à que la pratique soit interdite en 1972. En tout, un million de tonnes d’armes chimiques provenant des deux guerres mondiales et de la Guerre froide ont été déversées dans les eaux profondes et peu profondes à travers le monde.Si le déversement de ces réserves mortelles dans nos océans a pu sembler un jour être la meilleur solution pour régler un problème de stockage, nous nous demandons aujourd’hui si il y a un danger pour l’écosystème et pour la santé humaine ?
                
                
                    
                    
                        
                        Site internet                        
                          
                            
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=330",NA,NA,NA,FALSE
"482","
                            WWF Finlande – WWF International                        ","2012 – 2014",NA,NA,"Living Himalayas :  sÃ©curiser le chÃ¢teau d'eau de l'Asie","
              
        	
        				  
                  
					
                    Living Himalayas :  sÃ©curiser le chÃ¢teau d'eau de l'Asie
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            WWF Finlande – WWF International                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Bhoutan                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2012 – 2014L’Himalaya, château d’eau de l’Asie, est la source des dix plus grands fleuves d’Asie qui sont la force vitale d’environ 40% de la population mondiale vivant dans ces bassins fluviaux. Les bassins fluviaux du Koshi et du Dangme, qui traversent le Népal et le Bhoutan, ont une importance considérable pour l’hydrologie de l’Himalaya oriental puisqu’ils permettent la vie d’une flore et d’une faune riches et diverses.Toutefois, les régimes en Himalaya se transforment, ce qui met en péril la production alimentaire, les investissements réalisés dans l’énergie hydroélectrique, la survie des plantes et des animaux, et la survie des communautés humaines.Ce projet vise à mettre en place un dispositif de gestion intégrée des ressources en eau. En créant des plateformes régionales, il rassemble tous les intervenants autour de débats sur les initiatives politiques et permet la diffusion des bonnes pratiques. Ce projet apporte une expérience de terrain très précieuse pour renforcer les politiques et les pratiques de gestion de l’eau aux niveaux local, national et régional.
                
                
                    
                    
                        
                        Site internet                        
                          
                             www.panda.org
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		Ministère des Affaires Étrangères finlandais                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=326",NA,NA,NA,FALSE
